Time,Open,High,Low,Last,Change,Volume,"Open Int"
02/04/20,23.25,23.44,22.9,23.36,0.15,31507,0
02/03/20,23.69,23.8,23,23.21,-0.67,28844,416397
01/31/20,23.76,24.03,23.46,23.88,0.14,20493,417120
01/30/20,23.95,23.95,23.45,23.74,-0.25,32245,418787
01/29/20,24.64,24.67,23.88,23.99,-0.66,33704,419413
01/28/20,24.69,24.76,24.32,24.65,0.059999999999999,22275,417789
01/27/20,24.55,24.63,24.06,24.59,0.21,17440,417903
01/24/20,24.79,24.89,24.18,24.38,-0.32,21317,415335
01/23/20,25.12,25.14,24.32,24.7,-0.31,23603,415550
01/22/20,24.99,25.56,24.84,25.01,0.09,25504,414157
01/21/20,25.18,25.52,24.83,24.92,-0.25,22009,409117
01/20/20,25.47,25.9,25.05,25.17,-0.27,22481,406227
01/17/20,24.95,25.69,24.62,25.44,0.59,27719,407521
01/16/20,24.46,25.14,24.46,24.85,0.34,29191,408616
01/15/20,23.9,24.61,23.72,24.51,0.67,45475,407550
01/14/20,24.06,24.06,23.6,23.84,-0.3,24745,421742
01/13/20,24.05,24.49,23.93,24.14,-0.07,19901,419757
01/10/20,24.7,25.05,24.02,24.21,-0.46,22269,419282
01/09/20,24.02,24.85,23.88,24.67,0.59,25646,419326
01/08/20,24.5,24.75,24.03,24.08,-0.47,20577,418520
01/07/20,24.06,24.6,23.85,24.55,0.32,19935,418699
01/06/20,25.19,25.35,24.06,24.23,-0.75,18443,418627
01/03/20,24.63,25.08,24.48,24.98,0.59,11731,419185
01/02/20,24.63,24.97,24.2,24.39,-0.25,14422,418319
12/31/19,25.06,25.48,24.47,24.64,-0.45,7799,418098
12/30/19,26.85,26.85,25.04,25.09,-1.61,13573,418728
12/27/19,26.04,26.87,26.04,26.7,0.62,7256,420156
12/26/19,26.08,26.08,26.08,26.08,0,0,419364
12/24/19,26.4,26.75,25.76,26.08,-0.46,5945,419364
12/23/19,26.75,27.14,26.51,26.54,-0.13,11498,419525
12/20/19,26.6,26.78,25.95,26.67,-0.18,17669,419922
12/19/19,26.72,27,26.37,26.85,0.27,11949,419962
12/18/19,25.92,26.76,25.92,26.58,0.51,16153,421582
12/17/19,25.16,26.35,24.97,26.07,1.06,19701,421636
12/16/19,24.2,25.13,23.71,25.01,0.84,17963,420928
12/13/19,25.69,26.1,24.07,24.17,-1.08,26218,418588
12/12/19,24.73,25.39,24.32,25.25,0.6,19804,413652
12/11/19,25.13,25.31,24.53,24.65,-0.46,13058,407941
