"Exp Date",Symbol,"Contract Name",Last,"52W High","52W High Date","52W Low","52W Low Date","52W %Chg",Time
2008,CKZ08,"ICE ECX EUA Futures December 2008 Futures",15.3,29.69,07/02/08,13.5,12/05/08,-20.40%,12/15/08
2009,CKH09,"ICE ECX EUA Futures March 2009 Futures",10.89,30.53,07/01/08,8.06,02/12/09,-54.96%,03/30/09
2009,CKM09,"ICE ECX EUA Futures June 2009 Futures",13.41,30.53,07/01/08,8.06,02/12/09,-54.22%,06/29/09
2009,CKU09,"ICE ECX EUA Futures September 2009 Futures",13.06,25.43,09/26/08,8.06,02/12/09,-48.88%,09/25/09
2009,CKZ09,"ICE ECX EUA Futures December 2009 Futures",14.37,16.5,12/15/08,8.05,02/12/09,-7.77%,12/14/09
2010,CKH10,"ICE ECX EUA Futures March 2010 Futures",12.97,16.63,05/11/09,11.25,03/25/09,+9.64%,03/22/10
2010,CKM10,"ICE ECX EUA Futures June 2010 Futures",15.29,16.07,05/06/10,12.41,01/06/10,+9.61%,06/28/10
2010,CKU10,"ICE ECX EUA Futures September 2010 Futures",15.32,16.13,05/06/10,12.41,01/06/10,+14.58%,09/27/10
2010,CKZ10,"ICE ECX EUA Futures December 2010 Futures",13.9,16.73,05/04/10,12.25,01/07/10,+2.36%,12/20/10
2011,CKH11,"ICE ECX EUA Futures March 2011 Futures",16.79,17.2,03/16/11,13.22,03/29/10,+25.67%,03/28/11
2011,CKK11,"ICE ECX EUA Futures May 2011 Futures",15.81,16.21,05/17/11,15.81,05/23/11,-2.47%,05/23/11
2011,CKM11,"ICE ECX EUA Futures June 2011 Futures",12.76,17.2,05/09/11,12.07,06/24/11,-18.93%,06/27/11
2011,CKN11,"ICE ECX EUA Futures July 2011 Futures",12.79,16.73,05/31/11,11.59,07/12/11,-21.96%,07/25/11
2011,CKQ11,"ICE ECX EUA Futures August 2011 Futures",13.05,16.76,05/31/11,10.5,08/05/11,-19.14%,08/26/11
2011,CKU11,"ICE ECX EUA Futures September 2011 Futures",10.81,17.13,03/28/11,10.55,08/09/11,-30.66%,09/26/11
2011,CKV11,"ICE ECX EUA Futures October 2011 Futures",10.12,13.42,08/30/11,9.75,10/04/11,-20.69%,10/31/11
2011,CKX11,"ICE ECX EUA Futures November 2011 Futures",7.97,13.46,08/30/11,6.98,11/25/11,-40.79%,11/28/11
2011,CKZ11,"ICE ECX EUA Futures December 2011 Futures",6.98,18.18,05/31/11,6.3,12/14/11,-51.12%,12/19/11
2012,CKF12,"ICE ECX EUA Futures January 2012 Futures",7.55,10.14,11/11/11,6.15,01/04/12,-23.74%,01/30/12
2012,CKG12,"ICE ECX EUA Futures February 2012 Futures",9.28,9.35,02/27/12,6.28,01/04/12,+15.42%,02/27/12
2012,CKH12,"ICE ECX EUA Futures March 2012 Futures",6.84,17.53,04/04/11,6.18,01/04/12,-59.84%,03/26/12
2012,CKJ12,"ICE ECX EUA Futures April 2012 Futures",7.48,9.3,02/27/12,5.89,04/04/12,-4.83%,04/30/12
2012,CKK12,"ICE ECX EUA Futures May 2012 Futures",6.68,8.86,03/02/12,6.09,04/04/12,-24.35%,05/28/12
2012,CKM12,"ICE ECX EUA Futures June 2012 Futures",7.98,13.91,07/05/11,6.11,04/04/12,-36.01%,06/25/12
2012,CKN12,"ICE ECX EUA Futures July 2012 Futures",6.54,8.37,06/29/12,6.29,05/31/12,-12.92%,07/30/12
2012,CKQ12,"ICE ECX EUA Futures August 2012 Futures",7.6,8.29,07/05/12,6.3,05/31/12,+15.50%,08/20/12
2012,CKU12,"ICE ECX EUA Futures September 2012 Futures",7.22,11.28,09/29/11,6.16,04/04/12,-38.34%,09/24/12
2012,CKV12,"ICE ECX EUA Futures October 2012 Futures",8.05,8.35,09/07/12,6.91,07/31/12,+16.50%,10/29/12
2012,CKX12,"ICE ECX EUA Futures November 2012 Futures",6.84,9.07,11/12/12,6.52,11/20/12,-13.53%,11/26/12
2012,CKZ12,"ICE ECX EUA Futures December 2012 Futures",6.47,9.75,12/20/11,5.61,12/05/12,-9.38%,12/17/12
2013,CKF13,"ICE ECX EUA Futures January 2013 Futures",4.07,9.12,11/12/12,3.23,01/24/13,-50.12%,01/28/13
2013,CKG13,"ICE EUA Futures February 2013 Futures",4.47,7.19,12/20/12,3.22,02/01/13,-35.12%,02/25/13
2013,CKH13,"ICE EUA Futures March 2013 Futures",3.48,9.16,11/12/12,3.21,02/01/13,-55.78%,03/18/13
2013,CKJ13,"ICE EUA Futures April 2013 Futures",2.84,5.2,02/21/13,2.49,04/17/13,-26.99%,04/22/13
2013,CKK13,"ICE EUA Futures May 2013 Futures",3.56,5.13,04/08/13,2.7,04/17/13,-15.44%,05/20/13
2013,CKM13,"ICE EUA Futures June 2013 Futures",4.09,9.29,11/12/12,2.5,04/17/13,-51.43%,06/24/13
2013,CKN13,"ICE EUA Futures July 2013 Futures",4.3,4.8,07/03/13,2.88,05/01/13,+40.98%,07/29/13
2013,CKQ13,"ICE EUA Futures August 2013 Futures",4.31,4.75,06/14/13,3.28,05/22/13,+22.44%,08/19/13
2013,CKU13,"ICE EUA Futures September 2013 Futures",5.02,9.38,11/12/12,2.69,04/17/13,-39.30%,09/30/13
