"","date","last_price"
"1",2020-02-10,23.11
"2",2020-02-07,23.26
"3",2020-02-06,23.5
"4",2020-02-05,23.71
"5",2020-02-04,23.3
"6",2020-02-03,23.15
"7",2020-01-31,23.82
"8",2020-01-30,23.67
"9",2020-01-29,23.92
"10",2020-01-28,24.58
"11",2020-01-27,24.52
"12",2020-01-24,24.3
"13",2020-01-23,24.63
"14",2020-01-22,24.94
"15",2020-01-21,24.85
"16",2020-01-20,25.11
"17",2020-01-17,25.36
"18",2020-01-16,24.77
"19",2020-01-15,24.43
"20",2020-01-14,23.77
"21",2020-01-13,24.06
"22",2020-01-10,24.12
"23",2020-01-09,24.58
"24",2020-01-08,23.97
"25",2020-01-07,24.47
"26",2020-01-06,24.15
"27",2020-01-03,24.9
"28",2020-01-02,24.28
"29",2019-12-31,24.52
"30",2019-12-30,24.97
"31",2019-12-27,26.59
"32",2019-12-24,25.97
"33",2019-12-23,26.43
"34",2019-12-20,26.56
"35",2019-12-19,26.74
"36",2019-12-18,26.47
"37",2019-12-17,25.95
"38",2019-12-16,24.86
"39",2019-12-13,24.02
"40",2019-12-12,25.07
"41",2019-12-11,24.48
"42",2019-12-10,24.94
"43",2019-12-09,25.13
"44",2019-12-06,24.94
"45",2019-12-05,24.69
"46",2019-12-04,24.74
"47",2019-12-03,24
"48",2019-12-02,24.33
"49",2019-11-29,25.22
"50",2019-11-28,25.01
"51",2019-11-27,25.11
"52",2019-11-26,24.38
"53",2019-11-25,24.44
"54",2019-11-22,24.58
"55",2019-11-21,23.94
"56",2019-11-20,24.03
"57",2019-11-19,23.44
"58",2019-11-18,23.39
"59",2019-11-15,23.85
"60",2019-11-14,23.96
"61",2019-11-13,24.39
"62",2019-11-12,24.12
"63",2019-11-11,24.93
"64",2019-11-08,24.84
"65",2019-11-07,24.94
"66",2019-11-06,24.79
"67",2019-11-05,25.51
"68",2019-11-04,25.63
"69",2019-11-01,25.29
"70",2019-10-31,25.61
"71",2019-10-30,26
"72",2019-10-29,25.45
"73",2019-10-28,25.12
"74",2019-10-25,24.97
"75",2019-10-24,25.44
"76",2019-10-23,24.75
"77",2019-10-22,25.66
"78",2019-10-21,25.93
"79",2019-10-18,25.88
"80",2019-10-17,26.06
"81",2019-10-16,26.3
"82",2019-10-15,25.71
"83",2019-10-14,24.15
"84",2019-10-11,24.44
"85",2019-10-10,23.26
"86",2019-10-09,22.65
"87",2019-10-08,22.53
"88",2019-10-07,23.41
"89",2019-10-04,22.94
"90",2019-10-03,23.24
"91",2019-10-02,24.19
"92",2019-10-01,25.04
"93",2019-09-30,24.72
"94",2019-09-27,25.29
"95",2019-09-26,25.62
"96",2019-09-25,25.19
"97",2019-09-24,25.52
"98",2019-09-23,25.78
"99",2019-09-20,26.51
"100",2019-09-19,25.94
"101",2019-09-18,25.44
"102",2019-09-17,26.2
"103",2019-09-16,27.02
"104",2019-09-13,26.37
"105",2019-09-12,26.43
"106",2019-09-11,26.27
"107",2019-09-10,26.72
"108",2019-09-09,25.01
"109",2019-09-06,25.08
"110",2019-09-05,25.53
"111",2019-09-04,25.52
"112",2019-09-03,25.22
"113",2019-09-02,25.18
"114",2019-08-30,26.31
"115",2019-08-29,26.45
"116",2019-08-28,26
"117",2019-08-27,25.4
"118",2019-08-26,25.82
"119",2019-08-23,25.08
"120",2019-08-22,25.65
"121",2019-08-21,26.01
"122",2019-08-20,26.24
"123",2019-08-19,26.55
"124",2019-08-16,25.95
"125",2019-08-15,25.97
"126",2019-08-14,26.89
"127",2019-08-13,27.08
"128",2019-08-12,26.68
"129",2019-08-09,28.1
"130",2019-08-08,28.51
"131",2019-08-07,28.25
"132",2019-08-06,28.38
"133",2019-08-05,28.67
"134",2019-08-02,29.23
"135",2019-08-01,29.42
"136",2019-07-31,27.95
"137",2019-07-30,27.87
"138",2019-07-29,28.39
"139",2019-07-26,28.26
"140",2019-07-25,28.99
"141",2019-07-24,29.16
"142",2019-07-23,29.78
"143",2019-07-22,28.96
"144",2019-07-19,28.85
"145",2019-07-18,27.74
"146",2019-07-17,28.43
"147",2019-07-16,28.44
"148",2019-07-15,29.02
"149",2019-07-12,28.76
"150",2019-07-11,28.26
"151",2019-07-10,28.16
"152",2019-07-09,26.53
"153",2019-07-08,26.78
"154",2019-07-05,26.35
"155",2019-07-04,25.98
"156",2019-07-03,26.48
"157",2019-07-02,26.69
"158",2019-07-01,26.89
"159",2019-06-28,26.26
"160",2019-06-27,26.87
"161",2019-06-26,27.37
"162",2019-06-25,26.39
