Date,EUA,Banks,Basic resources,Chemicals,Financial_Services,Industrial,Retail,Technology,Telecom,Utilities
5/11/2018,14.6,108.76,2868.21,2904.35,2110.15,7009.78,440.8,1293.38,226.33,719.74
5/14/2018,14.6,107.15,2862.37,2908.88,2103,6953.52,443.81,1297.88,225.4,716.07
5/15/2018,14.29,107.27,2801.82,2924.79,2103,6937.45,439.32,1293.06,223.94,718.45
5/16/2018,15.15,103.4,2818.34,2955.75,2084.84,6971.44,441.83,1298.46,223.89,714.47
5/17/2018,15.27,103.66,2799.69,2974.63,2094.44,7043.41,450.1,1307.19,224.2,722.07
5/18/2018,15.22,101.98,2772.93,2965.4,2091.4,7046.91,451.18,1286.83,223.2,723.3
5/22/2018,15.92,103.54,2831.14,2979.93,2091.68,7148.46,452.02,1291.09,224.94,720
5/23/2018,15.98,102.6,2754.85,2910.4,2076.2,7045.48,447.42,1267.12,224.31,714.96
5/24/2018,16.26,97.85,2712.18,2904.29,2065.99,6981.05,444.64,1272.96,221.18,706.37
5/25/2018,15.97,98.68,2709.66,2926.78,2097.47,7006.96,443.16,1278.43,222.02,707.35
5/28/2018,16.28,97.4,2686.05,2916.19,2095.15,6947.5,441.9,1275.53,221.02,708.1
5/29/2018,16.27,93.36,2644.86,2869.49,2092.58,6886.4,436.93,1264.73,218.55,699.98
5/30/2018,15.81,93.65,2651.08,2885.66,2123.71,6885.54,439,1273.08,221.43,707.12
5/31/2018,14.88,88.96,2619.49,2855.07,2124.57,6851.37,441.36,1257.68,219.65,702.26
6/1/2018,15.26,91.83,2666.27,2883.8,2118.83,6951.39,441.75,1254.56,220.25,696.93
6/4/2018,16.1,92.72,2660.32,2886.37,2152.73,6955.07,444.24,1259.37,221.9,703.2
6/5/2018,15.74,91.24,2659.75,2899.13,2165.64,6962.59,447.3,1288.72,222.86,698.75
6/6/2018,15.9,93.27,2717.43,2908.79,2167.03,6991.43,451.55,1305.91,223.44,693.16
6/7/2018,15.97,94.04,2693.84,2889.61,2140.78,7003.58,451.44,1297.85,223.19,692.24
6/8/2018,15.79,93.24,2630.33,2887.19,2158.03,7019.87,448.4,1295.54,221.28,688.09
6/11/2018,15.46,95.01,2650.9,2940.59,2151.37,7073.8,448.92,1314.4,226.24,689.68
6/12/2018,15.12,95.03,2647.08,2938.8,2158.38,7071.36,451.32,1292.24,228.75,699.88
6/13/2018,15.28,94.51,2650.79,2938.95,2161.54,7143.29,451.65,1312.01,226.05,696.55
6/14/2018,14.88,93.98,2660.53,2981.13,2176.79,7276.94,456.05,1337.35,229.58,715.24
6/15/2018,14.5,91.61,2584.55,2954.25,2169.99,7193.81,457.74,1314.15,228.1,724.28
6/18/2018,14.57,91.5,2593.76,2914.69,2153.74,7111.39,455.55,1303.96,224.81,713.26
6/19/2018,14.21,91.94,2530.84,2867.69,2135.05,6989.32,450.92,1271.17,222.84,710.25
6/20/2018,14.47,91.92,2521.44,2872.64,2155.76,6989.19,454.7,1273.88,222.53,706.71
6/21/2018,14.78,89.77,2479.66,2833.85,2153.89,6881,454.47,1241.24,220.91,700.08
6/22/2018,15.09,90.55,2449.82,2858.98,2163.15,6941.53,458.9,1217.15,222.9,700.4
6/25/2018,14.99,88.26,2368,2776.32,2143.27,6721.42,455.34,1159.82,219.4,694.97
6/26/2018,15.01,87.67,2360.94,2761.03,2140.87,6672.94,455.69,1163.36,217.69,702.17
6/27/2018,15.24,86.61,2402.73,2812.35,2145.76,6797.64,456.55,1169.71,218.29,703.29
6/28/2018,14.99,86.77,2355,2782.59,2126.44,6677.7,449.73,1123.39,216.07,700.59
6/29/2018,14.98,87.91,2383.52,2828.13,2151.77,6766.14,454.48,1154.07,216.53,705.04
7/2/2018,15.06,87.51,2344.33,2810.18,2158.29,6674.88,455.78,1128.12,216.32,710.77
7/3/2018,15.09,88.33,2405.6,2820.67,2172.33,6731.41,457.78,1131.93,220.53,728.77
7/4/2018,15.51,89.03,2392.07,2787.97,2177.51,6719.27,455.67,1108.36,223.88,740.19
7/5/2018,15.67,91.03,2459.24,2843.29,2159.13,6748.32,461.56,1137.57,224.88,750.45
7/6/2018,15.69,92.58,2424.73,2865.36,2180.91,6779.02,465.56,1141.62,225.8,762.97
7/9/2018,15.99,93.06,2442.29,2876.19,2175.01,6826.87,469.43,1162.11,225.75,754.46
7/10/2018,16.04,92.46,2434.47,2891.06,2189.92,6946.86,471.22,1173.01,226.28,750.61
7/11/2018,16.31,91.29,2367.27,2834.1,2181.63,6857.99,470.17,1149.79,225,746.63
7/12/2018,16.08,90.91,2391.74,2855.67,2179.51,6935.59,469.1,1156.98,226.02,748.11
7/13/2018,16.05,91.44,2407.37,2876.27,2179.71,6987.36,465.29,1169.21,224.44,744.51
7/16/2018,15.92,95.62,2400.08,2878.67,2185.04,6989.08,466.1,1184.67,223.93,744.78
7/17/2018,16.07,95.11,2471.87,2917.99,2189.49,7056.77,468.69,1193.28,223.56,749.04
7/18/2018,16.4,96.1,2489.37,2941.88,2200.23,7119.15,472.31,1231.84,224.9,753.52
7/19/2018,16.85,95.67,2461.72,2918.98,2190.59,7094.26,469.61,1231.92,224.73,750.15
7/20/2018,17.06,95.43,2470.29,2889.81,2179.62,7012.91,468.88,1221.66,224.57,750.23
7/23/2018,17.38,96.26,2472.72,2873.06,2167.47,7019.47,471.85,1214.29,223.96,753.84
